"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"federalist-uswds-template.18f.gov","18f.gov","https://federalist-uswds-template.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"federalist.18f.gov","18f.gov","https://federalist.18f.gov","General Services Administration","dap, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"fedspendingtransparency.18f.gov","18f.gov","https://fedspendingtransparency.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"frontend.18f.gov","18f.gov","https://frontend.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"fugacious.18f.gov","18f.gov","https://fugacious.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"govconnect.18f.gov","18f.gov","https://govconnect.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"grouplet-playbook.18f.gov","18f.gov","https://grouplet-playbook.18f.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"guides-template.18f.gov","18f.gov","https://guides-template.18f.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"guides.18f.gov","18f.gov","https://guides.18f.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"handbook.18f.gov","18f.gov","https://handbook.18f.gov","General Services Administration","dap, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"iaa-forms.18f.gov","18f.gov","https://iaa-forms.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"identity-dev-docs.18f.gov","18f.gov","https://identity-dev-docs.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"innovation-toolkit-prototype.18f.gov","18f.gov","https://innovation-toolkit-prototype.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"jobs.18f.gov","18f.gov","https://jobs.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"join.18f.gov","18f.gov","https://join.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"lean-product-design.18f.gov","18f.gov","https://lean-product-design.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"markdown-helper.18f.gov","18f.gov","https://markdown-helper.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"methods.18f.gov","18f.gov","https://methods.18f.gov","General Services Administration","dap, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"micropurchase-staging.18f.gov","18f.gov","https://micropurchase-staging.18f.gov","General Services Administration","eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"micropurchase.18f.gov","18f.gov","https://micropurchase.18f.gov","General Services Administration","dap, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"modularcontracting.18f.gov","18f.gov","https://modularcontracting.18f.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"open-source-guide.18f.gov","18f.gov","https://open-source-guide.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"open-source-program.18f.gov","18f.gov","https://open-source-program.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"pages.18f.gov","18f.gov","https://pages.18f.gov","General Services Administration","eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"paid-leave-prototype.18f.gov","18f.gov","https://paid-leave-prototype.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"partnership-playbook.18f.gov","18f.gov","https://partnership-playbook.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"plain-language-tutorial.18f.gov","18f.gov","https://plain-language-tutorial.18f.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"private-eye.18f.gov","18f.gov","https://private-eye.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"product-guide.18f.gov","18f.gov","https://product-guide.18f.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"requests.18f.gov","18f.gov","https://requests.18f.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"slides.18f.gov","18f.gov","https://slides.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"testing-cookbook.18f.gov","18f.gov","https://testing-cookbook.18f.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"tock.18f.gov","18f.gov","https://tock.18f.gov","General Services Administration","eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"writing-lab-guide.18f.gov","18f.gov","https://writing-lab-guide.18f.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"2020census.gov","2020census.gov","https://2020census.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"9-11commission.gov","9-11commission.gov","https://9-11commission.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"911.gov","911.gov","https://www.911.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"resourcecenter.911.gov","911.gov","https://resourcecenter.911.gov","Department of Transportation","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"911commission.gov","911commission.gov","https://911commission.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"abandonedmines.gov","abandonedmines.gov","https://abandonedmines.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"abilityone.gov","abilityone.gov","https://abilityone.gov","United States AbilityOne","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"autodiscover.abilityone.gov","abilityone.gov","https://autodiscover.abilityone.gov","United States AbilityOne","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"distributor.abilityone.gov","abilityone.gov","https://distributor.abilityone.gov","United States AbilityOne","eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"jwodmail.abilityone.gov","abilityone.gov","https://jwodmail.abilityone.gov","United States AbilityOne","rdns-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"pl.abilityone.gov","abilityone.gov","https://pl.abilityone.gov","United States AbilityOne","eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"plimsvote.abilityone.gov","abilityone.gov","https://plimsvote.abilityone.gov","United States AbilityOne","eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"plimsws.abilityone.gov","abilityone.gov","https://plimsws.abilityone.gov","United States AbilityOne","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"plimswsdev.abilityone.gov","abilityone.gov","https://plimswsdev.abilityone.gov","United States AbilityOne","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"vpn2.abilityone.gov","abilityone.gov","https://vpn2.abilityone.gov","United States AbilityOne","rdns-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"abmc.gov","abmc.gov","http://abmc.gov","American Battle Monuments Commission","dotgov","No","No","Yes","Yes","No","No","No","No","Yes"
"webmail.abmc.gov","abmc.gov","https://webmail.abmc.gov","American Battle Monuments Commission","rdns-snapshot","No","Yes","Preloaded","No","Yes","No","No","No","No"
"abmcscholar.gov","abmcscholar.gov","http://abmcscholar.gov","American Battle Monuments Commission","dotgov","No","No","No","","","","","","No"
"access-board.gov","access-board.gov","https://www.access-board.gov","United States Access Board","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cts.access-board.gov","access-board.gov","https://cts.access-board.gov","United States Access Board","eot2016","No","Yes","No","Yes","No","No","No","No","No"
"sts.access-board.gov","access-board.gov","https://sts.access-board.gov","United States Access Board","censys-snapshot","No","Yes","No","No","Yes","Yes","No","Yes","No"
"accessibility.gov","accessibility.gov","https://accessibility.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"acf.gov","acf.gov","http://acf.gov","Department of Health and Human Services","dotgov","No","No","No","","","","","","No"
"achp.gov","achp.gov","http://achp.gov","Advisory Council on Historic Preservation","dotgov","No","No","No","","","","","","No"
"mail.achp.gov","achp.gov","http://mail.achp.gov","Advisory Council on Historic Preservation","rdns-snapshot","No","No","No","","","","","","No"
"mail2.achp.gov","achp.gov","http://mail2.achp.gov","Advisory Council on Historic Preservation","censys-snapshot","No","No","No","","","","","","No"
"qa.achp.gov","achp.gov","http://qa.achp.gov","Advisory Council on Historic Preservation","eot2016","No","No","No","","","","","","No"
"staging.achp.gov","achp.gov","https://staging.achp.gov","Advisory Council on Historic Preservation","censys-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"vpn.achp.gov","achp.gov","https://vpn.achp.gov","Advisory Council on Historic Preservation","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"abledata.acl.gov","acl.gov","https://abledata.acl.gov","Department of Health and Human Services","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"acl.gov","acl.gov","https://www.acl.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"adrc-tae.acl.gov","acl.gov","https://www.adrc-tae.acl.gov","Department of Health and Human Services","eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"agid.acl.gov","acl.gov","https://agid.acl.gov","Department of Health and Human Services","eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aoa.acl.gov","acl.gov","https://aoa.acl.gov","Department of Health and Human Services","eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"apps.acl.gov","acl.gov","https://apps.acl.gov","Department of Health and Human Services","rdns-snapshot, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"data.acl.gov","acl.gov","https://data.acl.gov","Department of Health and Human Services","eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"eldercare.acl.gov","acl.gov","https://eldercare.acl.gov","Department of Health and Human Services","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"icdr.acl.gov","acl.gov","https://icdr.acl.gov","Department of Health and Human Services","eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"mis.acl.gov","acl.gov","https://mis.acl.gov","Department of Health and Human Services","censys-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"nadrc.acl.gov","acl.gov","https://nadrc.acl.gov","Department of Health and Human Services","censys-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"ncea.acl.gov","acl.gov","https://ncea.acl.gov","Department of Health and Human Services","eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"nlrc.acl.gov","acl.gov","https://nlrc.acl.gov","Department of Health and Human Services","eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"nwdmt.acl.gov","acl.gov","https://nwdmt.acl.gov","Department of Health and Human Services","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"oam.acl.gov","acl.gov","https://oam.acl.gov","Department of Health and Human Services","eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"olderindians.acl.gov","acl.gov","https://olderindians.acl.gov","Department of Health and Human Services","rdns-snapshot, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"shipnpr.acl.gov","acl.gov","https://shipnpr.acl.gov","Department of Health and Human Services","rdns-snapshot, eot2016, other","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"stagenadrc.acl.gov","acl.gov","https://stagenadrc.acl.gov","Department of Health and Human Services","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"stg.adrc-tae.acl.gov","acl.gov","https://stg.adrc-tae.acl.gov","Department of Health and Human Services","censys-snapshot, other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"acquisition.gov","acquisition.gov","https://acquisition.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"acus.gov","acus.gov","https://acus.gov","Administrative Conference of the United States","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"autodiscover.acus.gov","acus.gov","http://autodiscover.acus.gov","Administrative Conference of the United States","censys-snapshot","No","No","Preloaded","","","","","","No"
"acwi.gov","acwi.gov","https://acwi.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
