"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"sbn-nd.fnal.gov","fnal.gov","http://sbn-nd.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"sbn.fnal.gov","fnal.gov","http://sbn.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"scisoft.fnal.gov","fnal.gov","http://scisoft.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"seaquest-docdb.fnal.gov","fnal.gov","http://seaquest-docdb.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"security.fnal.gov","fnal.gov","http://security.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"servicedesk.fnal.gov","fnal.gov","http://servicedesk.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"sist.fnal.gov","fnal.gov","http://sist.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"smp.fnal.gov","fnal.gov","http://smp.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"snap-docdb.fnal.gov","fnal.gov","http://snap-docdb.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"sorry.fnal.gov","fnal.gov","https://sorry.fnal.gov","Department of Energy","eot2016","No","Yes","No","Yes","No","No","No","No","No"
"sso.fnal.gov","fnal.gov","https://sso.fnal.gov","Department of Energy","eot2016","No","Yes","No","No","Yes","No","No","No","No"
"supercdms-docdb.fnal.gov","fnal.gov","http://supercdms-docdb.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"supercomputing.fnal.gov","fnal.gov","http://supercomputing.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"sustainability.fnal.gov","fnal.gov","http://sustainability.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"synoptic.fnal.gov","fnal.gov","http://synoptic.fnal.gov","Department of Energy","eot2016","No","No","No","No","Yes","No","No","No","No"
"t962.fnal.gov","fnal.gov","http://t962.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"targets.fnal.gov","fnal.gov","http://targets.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"td.fnal.gov","fnal.gov","http://td.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"tele.fnal.gov","fnal.gov","https://tele.fnal.gov","Department of Energy","eot2016","No","Yes","No","Yes","No","No","No","No","No"
"test-docdb.fnal.gov","fnal.gov","http://test-docdb.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"tev.fnal.gov","fnal.gov","http://tev.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"tevatron.fnal.gov","fnal.gov","http://tevatron.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"tevewwg.fnal.gov","fnal.gov","https://tevewwg.fnal.gov","Department of Energy","eot2016","No","Yes","No","Yes","No","No","No","No","No"
"tevnphwg.fnal.gov","fnal.gov","https://tevnphwg.fnal.gov","Department of Energy","eot2016","No","Yes","No","Yes","No","No","No","No","No"
"theory.fnal.gov","fnal.gov","http://theory.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"timecard.fnal.gov","fnal.gov","https://timecard.fnal.gov","Department of Energy","eot2016","No","Yes","No","Yes","No","No","No","No","No"
"tiweb.fnal.gov","fnal.gov","http://tiweb.fnal.gov","Department of Energy","eot2016","No","No","No","No","Yes","No","No","No","No"
"tools.fnal.gov","fnal.gov","http://tools.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"trac.fnal.gov","fnal.gov","http://trac.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"trclibrary.fnal.gov","fnal.gov","http://trclibrary.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"us-hilumi-docdb.fnal.gov","fnal.gov","http://us-hilumi-docdb.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"uscms-docdb.fnal.gov","fnal.gov","http://uscms-docdb.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"uspas.fnal.gov","fnal.gov","http://uspas.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"usqcd.fnal.gov","fnal.gov","http://usqcd.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"v-main-fcc2-1.fnal.gov","fnal.gov","https://v-main-fcc2-1.fnal.gov","Department of Energy","rdns-snapshot, eot2016","No","Yes","No","Yes","No","No","No","No","No"
"v-main-fcc2-new-outside.fnal.gov","fnal.gov","https://v-main-fcc2-new-outside.fnal.gov","Department of Energy","rdns-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"v-main-gcca-1.fnal.gov","fnal.gov","https://v-main-gcca-1.fnal.gov","Department of Energy","rdns-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"v-main-gcca-new-outside.fnal.gov","fnal.gov","https://v-main-gcca-new-outside.fnal.gov","Department of Energy","rdns-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"v-main-vip-new.fnal.gov","fnal.gov","https://v-main-vip-new.fnal.gov","Department of Energy","rdns-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"v-main-vip.fnal.gov","fnal.gov","https://v-main-vip.fnal.gov","Department of Energy","rdns-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"vector-offsite.fnal.gov","fnal.gov","https://vector-offsite.fnal.gov","Department of Energy","eot2016","No","Yes","No","Yes","No","No","No","No","No"
"vector.fnal.gov","fnal.gov","https://vector.fnal.gov","Department of Energy","eot2016","No","Yes","No","Yes","No","No","No","No","No"
"vibration.fnal.gov","fnal.gov","http://vibration.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"vms.fnal.gov","fnal.gov","http://vms.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"vmsstreamer1.fnal.gov","fnal.gov","http://vmsstreamer1.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"vpn.fnal.gov","fnal.gov","https://vpn.fnal.gov","Department of Energy","eot2016","No","Yes","No","Yes","No","No","No","No","No"
"wdrs.fnal.gov","fnal.gov","http://wdrs.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"web.fnal.gov","fnal.gov","https://web.fnal.gov","Department of Energy","eot2016","No","Yes","No","No","Yes","Yes","No","No","No"
"wi.fnal.gov","fnal.gov","http://wi.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"wilsonweb.fnal.gov","fnal.gov","http://wilsonweb.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"wirecap.fnal.gov","fnal.gov","http://wirecap.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"www-ad.fnal.gov","fnal.gov","https://www-ad.fnal.gov","Department of Energy","eot2016","No","Yes","No","","","","","","No"
"www-adms.fnal.gov","fnal.gov","http://www-adms.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-apex.fnal.gov","fnal.gov","http://www-apex.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-astro-theory.fnal.gov","fnal.gov","http://www-astro-theory.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-bd.fnal.gov","fnal.gov","https://www-bd.fnal.gov","Department of Energy","eot2016","No","Yes","No","","","","","","No"
"www-bdcryo.fnal.gov","fnal.gov","http://www-bdcryo.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-bdnew.fnal.gov","fnal.gov","http://www-bdnew.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-boone.fnal.gov","fnal.gov","http://www-boone.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-btev.fnal.gov","fnal.gov","https://www-btev.fnal.gov","Department of Energy","eot2016","No","Yes","No","","","","","","No"
"www-cad.fnal.gov","fnal.gov","http://www-cad.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-ccf.fnal.gov","fnal.gov","http://www-ccf.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-cdf.fnal.gov","fnal.gov","https://www-cdf.fnal.gov","Department of Energy","eot2016","No","Yes","No","","","","","","No"
"www-cdfen.fnal.gov","fnal.gov","http://www-cdfen.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-cdfonline.fnal.gov","fnal.gov","https://www-cdfonline.fnal.gov","Department of Energy","eot2016","No","Yes","No","","","","","","No"
"www-cdserver.fnal.gov","fnal.gov","http://www-cdserver.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-clued0.fnal.gov","fnal.gov","http://www-clued0.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-coupp.fnal.gov","fnal.gov","http://www-coupp.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-cpd.fnal.gov","fnal.gov","http://www-cpd.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-csi.fnal.gov","fnal.gov","http://www-csi.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-d0.fnal.gov","fnal.gov","https://www-d0.fnal.gov","Department of Energy","eot2016","No","Yes","No","","","","","","No"
"www-d0en.fnal.gov","fnal.gov","http://www-d0en.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-donut.fnal.gov","fnal.gov","http://www-donut.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-drendel.fnal.gov","fnal.gov","http://www-drendel.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-e690.fnal.gov","fnal.gov","https://www-e690.fnal.gov","Department of Energy","eot2016","No","Yes","No","","","","","","No"
"www-e706.fnal.gov","fnal.gov","https://www-e706.fnal.gov","Department of Energy","eot2016","No","Yes","No","","","","","","No"
"www-e815.fnal.gov","fnal.gov","https://www-e815.fnal.gov","Department of Energy","eot2016","No","Yes","No","","","","","","No"
"www-e831afs.fnal.gov","fnal.gov","http://www-e831afs.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-ed.fnal.gov","fnal.gov","http://www-ed.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-enstore.fnal.gov","fnal.gov","http://www-enstore.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-esd.fnal.gov","fnal.gov","http://www-esd.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-esh.fnal.gov","fnal.gov","http://www-esh.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-fermicloud.fnal.gov","fnal.gov","http://www-fermicloud.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-finesse.fnal.gov","fnal.gov","https://www-finesse.fnal.gov","Department of Energy","eot2016","No","Yes","No","","","","","","No"
"www-focus.fnal.gov","fnal.gov","https://www-focus.fnal.gov","Department of Energy","eot2016","No","Yes","No","","","","","","No"
"www-giduid.fnal.gov","fnal.gov","http://www-giduid.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-ilcdcb.fnal.gov","fnal.gov","http://www-ilcdcb.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-inst.fnal.gov","fnal.gov","http://www-inst.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-lc.fnal.gov","fnal.gov","http://www-lc.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-mi.fnal.gov","fnal.gov","http://www-mi.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-microboone.fnal.gov","fnal.gov","https://www-microboone.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-minerva.fnal.gov","fnal.gov","http://www-minerva.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-minimax.fnal.gov","fnal.gov","http://www-minimax.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-mipp.fnal.gov","fnal.gov","http://www-mipp.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-muon.fnal.gov","fnal.gov","http://www-muon.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-nova.fnal.gov","fnal.gov","https://www-nova.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-numi.fnal.gov","fnal.gov","http://www-numi.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-off-axis.fnal.gov","fnal.gov","http://www-off-axis.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-org.fnal.gov","fnal.gov","http://www-org.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-oss.fnal.gov","fnal.gov","http://www-oss.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-pat.fnal.gov","fnal.gov","http://www-pat.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-radiate.fnal.gov","fnal.gov","https://www-radiate.fnal.gov","Department of Energy","eot2016","No","Yes","No","","","","","","No"
"www-rhvd.fnal.gov","fnal.gov","http://www-rhvd.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-root.fnal.gov","fnal.gov","http://www-root.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-runco.fnal.gov","fnal.gov","http://www-runco.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-sciboone.fnal.gov","fnal.gov","https://www-sciboone.fnal.gov","Department of Energy","eot2016","No","Yes","No","","","","","","No"
"www-sdss.fnal.gov","fnal.gov","http://www-sdss.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-selex.fnal.gov","fnal.gov","https://www-selex.fnal.gov","Department of Energy","eot2016","No","Yes","No","","","","","","No"
"www-spires.fnal.gov","fnal.gov","http://www-spires.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-ssch.fnal.gov","fnal.gov","https://www-ssch.fnal.gov","Department of Energy","eot2016","No","Yes","No","","","","","","No"
"www-star.fnal.gov","fnal.gov","http://www-star.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-stken.fnal.gov","fnal.gov","http://www-stken.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-td.fnal.gov","fnal.gov","http://www-td.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-tele.fnal.gov","fnal.gov","https://www-tele.fnal.gov","Department of Energy","eot2016","No","Yes","No","","","","","","No"
"www-theory.fnal.gov","fnal.gov","http://www-theory.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-vibration.fnal.gov","fnal.gov","http://www-vibration.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-visualmedia.fnal.gov","fnal.gov","http://www-visualmedia.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"www-warner.fnal.gov","fnal.gov","http://www-warner.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"wwwtsmtf.fnal.gov","fnal.gov","http://wwwtsmtf.fnal.gov","Department of Energy","eot2016","No","No","No","","","","","","No"
"xen-rsa.fnal.gov","fnal.gov","https://xen-rsa.fnal.gov","Department of Energy","censys-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"xoc.fnal.gov","fnal.gov","http://xoc.fnal.gov","Department of Energy","eot2016","No","No","No","Yes","No","No","No","No","No"
"admin.foia.gov","foia.gov","https://admin.foia.gov","Department of Justice","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"api.foia.gov","foia.gov","https://api.foia.gov","Department of Justice","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"api2.foia.gov","foia.gov","https://api2.foia.gov","Department of Justice","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"archive.foia.gov","foia.gov","https://archive.foia.gov","Department of Justice","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"dev-admin.foia.gov","foia.gov","https://dev-admin.foia.gov","Department of Justice","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"dev-api.foia.gov","foia.gov","https://dev-api.foia.gov","Department of Justice","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"dev-api2.foia.gov","foia.gov","https://dev-api2.foia.gov","Department of Justice","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"dev-www.foia.gov","foia.gov","https://dev-www.foia.gov","Department of Justice","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"foia.gov","foia.gov","https://www.foia.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"open.foia.gov","foia.gov","https://open.foia.gov","Department of Justice","dap, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"search.foia.gov","foia.gov","https://search.foia.gov","Department of Justice","dap, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"stg-admin.foia.gov","foia.gov","https://stg-admin.foia.gov","Department of Justice","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"stg-api.foia.gov","foia.gov","https://stg-api.foia.gov","Department of Justice","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"stg-api2.foia.gov","foia.gov","https://stg-api2.foia.gov","Department of Justice","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"stg-www.foia.gov","foia.gov","https://stg-www.foia.gov","Department of Justice","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"foiaonline.gov","foiaonline.gov","http://foiaonline.gov","Environmental Protection Agency","dotgov","No","No","Yes","Yes","No","No","No","No","Yes"
"espanol.foodsafety.gov","foodsafety.gov","https://espanol.foodsafety.gov","Department of Health and Human Services","dap, eot2016, other","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"foodsafety.gov","foodsafety.gov","https://www.foodsafety.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"search.foodsafety.gov","foodsafety.gov","http://search.foodsafety.gov","Department of Health and Human Services","dap, eot2016, other","No","No","Preloaded","Yes","No","No","No","No","Ready"
"foodsafetyjobs.gov","foodsafetyjobs.gov","https://foodsafetyjobs.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fordlibrarymuseum.gov","fordlibrarymuseum.gov","https://www.fordlibrarymuseum.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"beta.foreignassistance.gov","foreignassistance.gov","http://beta.foreignassistance.gov","Department of State","eot2016, other","No","No","No","","","","","","No"
"foreignassistance.gov","foreignassistance.gov","https://foreignassistance.gov","Department of State","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"forestsandrangelands.gov","forestsandrangelands.gov","https://forestsandrangelands.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"devsearch.forfeiture.gov","forfeiture.gov","https://devsearch.forfeiture.gov","Department of Justice","rdns-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"devsystems.forfeiture.gov","forfeiture.gov","https://devsystems.forfeiture.gov","Department of Justice","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"forfeiture.gov","forfeiture.gov","https://www.forfeiture.gov","Department of Justice","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"ocp.forfeiture.gov","forfeiture.gov","https://ocp.forfeiture.gov","Department of Justice","rdns-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"search.forfeiture.gov","forfeiture.gov","https://search.forfeiture.gov","Department of Justice","rdns-snapshot, dap","No","Yes","No","Yes","No","No","No","No","No"
"stgocp.forfeiture.gov","forfeiture.gov","http://stgocp.forfeiture.gov","Department of Justice","rdns-snapshot","No","No","No","Yes","No","No","No","No","No"
"stgsearch.forfeiture.gov","forfeiture.gov","https://stgsearch.forfeiture.gov","Department of Justice","rdns-snapshot, dap","No","Yes","No","Yes","No","No","No","No","No"
"stgsystems.forfeiture.gov","forfeiture.gov","https://stgsystems.forfeiture.gov","Department of Justice","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"stgwww.forfeiture.gov","forfeiture.gov","http://stgwww.forfeiture.gov","Department of Justice","dap","No","No","No","No","Yes","No","No","No","No"
"sysocp.forfeiture.gov","forfeiture.gov","http://sysocp.forfeiture.gov","Department of Justice","rdns-snapshot","No","No","No","Yes","No","No","No","No","No"
"systems.forfeiture.gov","forfeiture.gov","https://systems.forfeiture.gov","Department of Justice","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"forms.gov","forms.gov","https://forms.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fpc.gov","fpc.gov","https://www.fpc.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"beta.fpds.gov","fpds.gov","https://beta.fpds.gov","General Services Administration","rdns-snapshot, dap","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fpds.gov","fpds.gov","https://fpds.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"http.apl-test.cite.fpki-lab.gov","fpki-lab.gov","http://http.apl-test.cite.fpki-lab.gov","General Services Administration","eot2016","No","No","No","","","","","","No"
"http.cite.fpki-lab.gov","fpki-lab.gov","http://http.cite.fpki-lab.gov","General Services Administration","eot2016","No","No","No","","","","","","No"
"http.fpki.gov","fpki.gov","http://http.fpki.gov","General Services Administration","eot2016","No","No","No","","","","","","No"
"omon.fpki.gov","fpki.gov","https://omon.fpki.gov","General Services Administration","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"omon2.fpki.gov","fpki.gov","https://omon2.fpki.gov","General Services Administration","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"awds.frb.gov","frb.gov","https://awds.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"awdsc.frb.gov","frb.gov","https://awdsc.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"awdsq.abc.frb.gov","frb.gov","https://awdsq.abc.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"awrelay.frb.gov","frb.gov","https://awrelay.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","No","Yes","No","No","Yes","No","No","No","No"
"awrelayq.abc.frb.gov","frb.gov","https://awrelayq.abc.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","No","Yes","No","No","Yes","No","No","No","No"
"awseg.frb.gov","frb.gov","https://awseg.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"awsegc.frb.gov","frb.gov","https://awsegc.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"awsegq.abc.frb.gov","frb.gov","https://awsegq.abc.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bsr.frb.gov","frb.gov","https://bsr.frb.gov","Federal Reserve Board of Governors","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bsr8.frb.gov","frb.gov","https://bsr8.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bsrc-new.frb.gov","frb.gov","https://bsrc-new.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bsrq-par.frb.gov","frb.gov","https://bsrq-par.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bsrq.frb.gov","frb.gov","https://bsrq.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bsrqs-par.frb.gov","frb.gov","https://bsrqs-par.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bsrqs.frb.gov","frb.gov","https://bsrqs.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bsrt-par.frb.gov","frb.gov","https://bsrt-par.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bsrt.frb.gov","frb.gov","https://bsrt.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bsrts.frb.gov","frb.gov","https://bsrts.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bsrts8.frb.gov","frb.gov","https://bsrts8.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"chunnel.frb.gov","frb.gov","https://chunnel.frb.gov","Federal Reserve Board of Governors","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"funnel.frb.gov","frb.gov","https://funnel.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nies.frb.gov","frb.gov","https://nies.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"sentry1.frb.gov","frb.gov","https://sentry1.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"sentry1c.frb.gov","frb.gov","https://sentry1c.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"sentry1t.frb.gov","frb.gov","https://sentry1t.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"tunnel.frb.gov","frb.gov","https://tunnel.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"visitor.frb.gov","frb.gov","https://visitor.frb.gov","Federal Reserve Board of Governors","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"freshempire.gov","freshempire.gov","https://freshempire.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"frpg.gov","frpg.gov","https://www.frpg.gov","General Services Administration","dotgov","No","Yes","Yes","No","Yes","No","No","No","Ready"
"frtib.gov","frtib.gov","https://www.frtib.gov","Federal Retirement Thrift Investment Board","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"search.frtib.gov","frtib.gov","https://search.frtib.gov","Federal Retirement Thrift Investment Board","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"frtr.gov","frtr.gov","https://frtr.gov","Environmental Protection Agency","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"apps.fs.fed.us","fs.fed.us","https://apps.fs.fed.us","U.S. Department of Agriculture","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fhm.fs.fed.us","fs.fed.us","https://fhm.fs.fed.us","U.S. Department of Agriculture","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
